id,texto,emocion,texto_en2esp_marian
1,i didnt feel humiliated,sadness,No me sentí humillada.
2,i can go from feeling so hopeless to so damned hopeful just from being around someone who cares and is awake,sadness,Puedo pasar de sentirme tan desesperanzada a tan maldita esperanzada de estar cerca de alguien que se preocupa y está despierto.
3,im grabbing a minute to post i feel greedy wrong,anger,Estoy agarrando un minuto para publicar Me siento codicioso mal
4,i am ever feeling nostalgic about the fireplace i will know that it is still on the property,love,Me siento nostálgico sobre la chimenea. Sabré que todavía está en la propiedad.
5,i am feeling grouchy,anger,Me siento gruñón.
6,ive been feeling a little burdened lately wasnt sure why that was,sadness,He estado sintiéndome un poco agobiado últimamente no estaba seguro de por qué era
7,ive been taking or milligrams or times recommended amount and ive fallen asleep a lot faster but i also feel like so funny,surprise,"He estado tomando o miligramos o veces la cantidad recomendada y me he quedado dormido mucho más rápido, pero también me siento tan divertido"
8,i feel as confused about life as a teenager or as jaded as a year old man,fear,Me siento tan confundido sobre la vida como un adolescente o tan cansado como un hombre de un año
9,i have been with petronas for years i feel that petronas has performed well and made a huge profit,joy,He estado con petronas por años siento que petronas ha funcionado bien y ha hecho un gran beneficio
10,i feel romantic too,love,Yo también me siento romántico.
11,i feel like i have to make the suffering i m seeing mean something,sadness,Siento que tengo que hacer que el sufrimiento que estoy viendo signifique algo.
12,i do feel that running is a divine experience and that i can expect to have some type of spiritual encounter,joy,Siento que correr es una experiencia divina y que puedo esperar tener algún tipo de encuentro espiritual
13,i think it s the easiest time of year to feel dissatisfied,anger,Creo que es la época más fácil del año para sentirse insatisfecho
14,i feel low energy i m just thirsty,sadness,Me siento de baja energía. Sólo tengo sed.
15,i have immense sympathy with the general point but as a possible proto writer trying to find time to write in the corners of life and with no sign of an agent let alone a publishing contract this feels a little precious,joy,"Tengo una inmensa simpatía con el punto general, pero como posible proto escritor tratando de encontrar tiempo para escribir en los rincones de la vida y sin signos de un agente y mucho menos un contrato editorial se siente un poco precioso"
16,i do not feel reassured anxiety is on each side,joy,No siento que la ansiedad tranquilizada esté en cada lado.
17,i didnt really feel that embarrassed,sadness,Realmente no me sentí tan avergonzada.
18,i feel pretty pathetic most of the time,sadness,Me siento bastante patético la mayor parte del tiempo.
19,i started feeling sentimental about dolls i had as a child and so began a collection of vintage barbie dolls from the sixties,sadness,Empecé a sentirme sentimental con las muñecas que tenía de niño y así comenzó una colección de muñecas de Barbie vintage de los años sesenta
20,i now feel compromised and skeptical of the value of every unit of work i put in,fear,Ahora me siento comprometido y escéptico del valor de cada unidad de trabajo que pongo en
21,i feel irritated and rejected without anyone doing anything or saying anything,anger,Me siento irritada y rechazada sin que nadie haga nada o diga nada.
22,i am feeling completely overwhelmed i have two strategies that help me to feel grounded pour my heart out in my journal in the form of a letter to god and then end with a list of five things i am most grateful for,fear,Me siento completamente abrumado tengo dos estrategias que me ayudan a sentirme castigado derramar mi corazón en mi diario en forma de una carta a Dios y luego terminar con una lista de cinco cosas por las que estoy muy agradecido
23,i have the feeling she was amused and delighted,joy,Tengo la sensación de que estaba divertida y encantada.
24,i was able to help chai lifeline with your support and encouragement is a great feeling and i am so glad you were able to help me,joy,Fui capaz de ayudar a Chai Lifeline con tu apoyo y aliento es una gran sensación y estoy tan contento de que hayas sido capaz de ayudarme
25,i already feel like i fucked up though because i dont usually eat at all in the morning,anger,Ya me siento como si la hubiera cagado porque normalmente no como para nada en la mañana.
26,i still love my so and wish the best for him i can no longer tolerate the effect that bm has on our lives and the fact that is has turned my so into a bitter angry person who is not always particularly kind to the people around him when he is feeling stressed,sadness,Yo todavía amo mi tan y deseo lo mejor para él ya no puedo tolerar el efecto que bm tiene en nuestras vidas y el hecho de que ha convertido mi tan amarga persona enojada que no siempre es particularmente amable con la gente a su alrededor cuando se siente estresado
27,i feel so inhibited in someone elses kitchen like im painting on someone elses picture,sadness,Me siento tan inhibida en la cocina de alguien más como pintar en la imagen de alguien más
28,i become overwhelmed and feel defeated,sadness,Me siento abrumado y derrotado
29,i feel kinda appalled that she feels like she needs to explain in wide and lenghth her body measures etc pp,anger,Me siento un poco consternado que ella siente que necesita explicar en ancho y largo su cuerpo medidas etc pp
30,i feel more superior dead chicken or grieving child,joy,Me siento más superior muerto pollo o niño de duelo
31,i get giddy over feeling elegant in a perfectly fitted pencil skirt,joy,Me pongo mareado por sentirme elegante en una falda de lápiz perfectamente equipada
32,i remember feeling acutely distressed for a few days,fear,Recuerdo que me sentí muy angustiada por unos días.
33,i have seen heard and read over the past couple of days i am left feeling impressed by more than a few companies,surprise,He visto escuchar y leer en los últimos dos días me he quedado impresionado por más de unas pocas empresas
34,i climbed the hill feeling frustrated that id pretty much paced entirely wrong for this course and that a factor that has never ever hampered me had made such a dent in the day,anger,Subí a la colina sintiéndome frustrado de que id casi paso completamente mal para este curso y que un factor que nunca me ha obstaculizado había hecho tal abolladura en el día
35,i can t imagine a real life scenario where i would be emotionally connected enough with someone to feel totally accepted and safe where it it morally acceptable for me to have close and prolonged physical contact and where sex won t be expected subsequently,joy,No puedo imaginar un escenario de la vida real donde estaría conectado emocionalmente lo suficiente con alguien para sentirme totalmente aceptado y seguro donde moralmente aceptable para mí tener contacto físico cercano y prolongado y donde el sexo no se espera posteriormente
36,i am not sure what would make me feel content if anything,joy,No estoy seguro de lo que me haría sentir contento si algo
37,i have been feeling the need to be creative,joy,He estado sintiendo la necesidad de ser creativo
38,i do however want you to know that if something someone is causing you to feel less then your splendid self step away from them,joy,"Sin embargo, quiero que sepas que si algo te está haciendo sentir menos que tu espléndido auto aléjate de ellos."
39,i feel a bit rude writing to an elderly gentleman to ask for gifts because i feel a bit greedy but what is christmas about if not mild greed,anger,Me siento un poco grosero escribiendo a un anciano caballero para pedir regalos porque me siento un poco codicioso pero lo que es Navidad si no leve codicia
40,i need you i need someone i need to be protected and feel safe i am small now i find myself in a season of no words,joy,Necesito a alguien a quien proteger y sentirme seguro. Soy pequeño. Ahora me encuentro en una temporada sin palabras.
41,i plan to share my everyday life stories traveling adventures inspirations and handmade creations with you and hope you will also feel inspired,joy,Planeo compartir mis historias de la vida cotidiana aventuras de viaje inspiraciones y creaciones hechas a mano con usted y espero que también se sentirá inspirado
42,i already have my christmas trees up i got two and am feeling festive which i m sure is spurring me to get started on this book,joy,Ya tengo mis árboles de Navidad arriba Tengo dos y me siento festiva que estoy seguro me está estimulando a empezar en este libro
43,ive worn it once on its own with a little concealer and for the days im feeling brave but dont want to be pale then its perfect,joy,lo usaba una vez por su cuenta con un pequeño corrector y por los días me siento valiente pero no quiero ser pálido entonces su perfecto
44,i feel very strongly passionate about when some jerk off decides to poke and make fun of us,joy,Me siento muy apasionada por cuando algún pajeado decide hacer pis y burlarse de nosotros.
45,i was feeling so discouraged we are already robbing peter to pay paul to get our cow this year but we cant afford to not get the cow this way,sadness,Me sentía tan desanimada que ya estamos robando a Peter para pagar a Paul por nuestra vaca este año pero no podemos permitirnos no conseguir la vaca de esta manera
46,i was feeling listless from the need of new things something different,sadness,Me sentía triste por la necesidad de cosas nuevas algo diferente.
47,i lost my special mind but don t worry i m still sane i just wanted you to feel what i felt while reading this book i don t know how many times it was said that sam was special but i can guarantee you it was many more times than what i used in that paragraph did i tell you she was special,joy,Perdí mi mente especial pero no te preocupes todavía estoy cuerdo sólo quería que sintieras lo que sentí mientras leía este libro no sé cuántas veces se dijo que Sam era especial pero puedo garantizarte que fue muchas más veces que lo que usé en ese párrafo te dije que era especial
48,i can t let go of that sad feeling that i want to be accepted here in this first home of mine,love,No puedo dejar ir esa triste sensación de que quiero ser aceptado aquí en esta primera casa mía.
49,on a boat trip to denmark,joy,en un viaje en barco a Denmark
50,i stopped feeling cold and began feeling hot,anger,Dejé de sentir frío y empecé a sentir calor
51,i need to feel the dough to make sure its just perfect,joy,Necesito sentir la masa para asegurarme de que es perfecto.
52,i found myself feeling a little discouraged that morning,sadness,Me sentí un poco desanimada esa mañana.
53,i feel selfish and spoiled,anger,Me siento egoísta y malcriado.
54,i was stymied a little bit as i wrote feeling unsure that i might go somewhere with the story unintended,fear,Me quedé un poco atascado mientras escribía sin estar seguro de que podría ir a algún lado con la historia sin querer.
55,i bag qaf look who s cryin now jacynthe lookin good feelin gorgeous rupaul the skins scissor sisters valentine the sun fed up kayle who s your daddy gerling awake the unkind u,joy,I bag qaf look who s cryin ahora jacynthe lookin good feelin beautiful rupaul las pieles tijera hermanas valentine el sol harto kayle que es tu papá gerling despertar el poco amable u
56,i feel you know basically like a fake in the realm of science fiction,sadness,Siento que sabes básicamente como una falsificación en el reino de la ciencia ficción
57,i hate living under my dads roof because it gives him an excuse to be an asshole to me because hes providing for me to live here i think he feels that he needs to make me feel as unwelcome as possible so ill leave,sadness,Odio vivir bajo el techo de mi padre porque le da una excusa para ser un idiota para mí porque me está dando para vivir aquí creo que siente que necesita hacerme sentir tan mal como sea posible tan mal permiso
58,i keep feeling pleasantly surprised at his supportiveness and also his ease in new situations,surprise,Sigo sintiéndome gratamente sorprendido por su apoyo y también su facilidad en nuevas situaciones
59,i have this feeling that if i have anymore vigorous sexual activity in the coming yes i misspelt that as cumming days parts of me will begin to fall off,joy,Tengo esta sensación de que si tengo más actividad sexual vigorosa en la venida sí me equivoco que como días de cumming partes de mí comenzarán a caerse
60,i feel my mom s graceful warm loving smile as i rob the time to nurture myself and heal,joy,Siento que mi mamá es graciosa cálida y amorosa sonrisa mientras robo el tiempo para cuidarme y sanar
61,i feel in they talk the brother in law is extremely popular the one that had no me to think is so stiff,joy,Siento en ellos hablar que el cuñado es extremadamente popular el que no me tenía a mí para pensar que es tan rígido
62,i ate i could feel a gentle tingle throughout almost as if i was feeling the healing taking place at a cellular level,love,Yo comía podía sentir un suave hormigueo a lo largo de casi como si estuviera sintiendo la curación que tiene lugar a nivel celular
